SampleID	Keep	LibraryType
A12014_EuroHG1-RefSeqGCS	Y	UeWGA
A12017_EuroHG2-RefSeqGCS	Y	UeWGA
A12826_LBK1-RefSeqGCS	Y	UeWGA
A12829_LBK2-RefSeqGCS	Y	UeWGA
A13204_AfrPP2-RefSeqGCS	Y	UeWGA
A13208_AfrSF2-RefSeqGCS	Y	UeWGA
A13209_AfrSF3-RefSeqGCS	Y	UeWGA
A13210-AfrSF4-RefSeqGCS	Y	UeWGA
A13213_AfrPP1-RefSeqGCS	Y	UeWGA
A13232_IndRev1-RefSeqGCS	Y	UeWGA
A13234_IndRev2-RefSeqGCS	Y	UeWGA
A8812_JewBury1-RefSeqGCS	Y	UeWGA
A8824_JewBury2-RefSeqGCS	Y	UeWGA
A12014_EuroHG1-100k-SortMeRNA-Naive	Y	Enriched
A12017_EuroHG2-93208-SortMeRNA-Naive	Y	Enriched
A12826_LBK1-100k-SortMeRNA-Naive	Y	Enriched
A12829_LBK2-100k-SortMeRNA-Naive	Y	Enriched
A12873_Chimp-100k-SortMeRNA-Naive	Y	Enriched
A13204_AfrPP2-100k-SortMeRNA-Naive	Y	Enriched
A13208_AfrSF2-100k-SortMeRNA-Naive	Y	Enriched
A13209_AfrSF3-100k-SortMeRNA-Naive	Y	Enriched
A13210-AfrSF4-100k-SortMeRNA-Naive	Y	Enriched
A13213_AfrPP1-100k-SortMeRNA-Naive	Y	Enriched
A13232_IndRev1-100k-SortMeRNA-Naive	Y	Enriched
A13234_IndRev2-100k-SortMeRNA-Naive	Y	Enriched
A8812_JewBury1-51926-SortMeRNA-Naive	Y	Enriched
A8824_JewBury2-71125-SortMeRNA-Naive	Y	Enriched
12014Meso	Y	16S
12017Meso	Y	16S
12826LBK	Y	16S
12829LBK	Y	16S
12873Chimp	Y	16S
13204Sf	Y	16S
13208Sf	Y	16S
13209Sf	Y	16S
13210Sf	Y	16S
13213Sf	Y	16S
8812Jewbury	Y	16S
8824Jewbury	Y	16S
IndustrialRevolution1-1.	Y	16S
IndustrialRevolution2	Y	16S
IndustrialRevolution3	Y	16S
