SampleID	A8812_JewBury1-51926-SortMeRNA-Naive	A8824_JewBury2-71125-SortMeRNA-Naive	A12014_EuroHG1-100k-SortMeRNA-Naive	A12017_EuroHG2-93208-SortMeRNA-Naive	A12826_LBK1-100k-SortMeRNA-Naive	A12829_LBK2-100k-SortMeRNA-Naive	A12873_Chimp-100k-SortMeRNA-Naive	A13204_AfrPP2-100k-SortMeRNA-Naive	A13208_AfrSF2-100k-SortMeRNA-Naive	A13209_AfrSF3-100k-SortMeRNA-Naive	A13210-AfrSF4-100k-SortMeRNA-Naive	A13213_AfrPP1-100k-SortMeRNA-Naive	A13232_IndRev1-100k-SortMeRNA-Naive	A13234_IndRev2-100k-SortMeRNA-Naive	A13344_ET11_EBC-100k-SortMeRNA-Naive	AFR8_EBC-9076-SortMeRNA-Naive	8812Jewbury	8824Jewbury	12014Meso	12017Meso	12826LBK	12829LBK	12873Chimp	13204Sf	13208Sf	13209Sf	13210Sf	13213Sf	IndustrialRevolution1-1.	IndustrialRevolution2	IndustrialRevolution3
Bacteria	1447	2208	2666	3280	4417	3475	4108	3301	4905	5461	4785	3346	1292	2135	15	52	1641	690	2	586	1343	2443	268	3328	654	3	4	0	237	287	76
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	40	302	5339	4344	2486	2	124	1279	1	0	1571	76	73	19
Solibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	1774	1	0	0	0	0	0	0	0
Candidatus Solibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2662	0	0	0	0	0	0	0	0	0	3	0
Bacteria incertae sedis	1	0	0	3	6	9	0	6	22	4	15	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria candidate phyla	32	0	0	16	4	9	0	5	12	4	2	37	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Saccharibacteria	4	0	24	7	19	21	0	20	70	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Saccharimonas	64	0	440	77	80	79	0	306	0	0	0	188	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patescibacteria group	0	0	0	15	9	0	0	0	3	0	5	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microgenomates group	0	0	0	85	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Pacebacteria	0	0	0	0	0	0	0	0	279	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parcubacteria group	0	0	0	0	62	0	0	0	98	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Moranbacteria	0	0	0	0	0	0	0	0	470	0	1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobia	0	0	0	0	0	0	0	70	0	0	0	0	112	0	0	0	0	0	226	2948	0	0	0	0	0	0	1	0	0	0	0
